Brand,Mileage,Horsepower,EngineSize,Year,Price
Maruti,22000,67,1.0,2018,350000
Hyundai,18000,82,1.2,2019,450000
Honda,20000,90,1.5,2020,550000
Toyota,15000,98,1.8,2017,650000
Tata,17000,86,1.2,2019,500000
Maruti,24000,70,1.0,2016,300000
Hyundai,16000,85,1.2,2018,420000
Honda,19000,92,1.5,2019,530000
Toyota,14000,100,1.8,2016,620000
Tata,16500,88,1.2,2018,480000
Maruti,21000,69,1.0,2017,340000
Hyundai,17500,84,1.2,2019,460000
Honda,18500,91,1.5,2020,560000
Toyota,15500,99,1.8,2018,660000
Tata,16800,87,1.2,2019,510000
Maruti,23000,72,1.0,2016,310000
Hyundai,16500,86,1.2,2018,430000
Honda,19500,93,1.5,2019,540000
Toyota,14500,101,1.8,2016,630000
Tata,17200,89,1.2,2018,490000
